2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Moreno (10)	1 - 00:00'9	Zhu C. (05)	Pass	-	Kick-off	-	-	Reception	-	24.5	24.5	00:01'8	49	52.5	14.6	90	-	D 3	B 2
Zhu C. (05)	1 - 00:02'7	Zhu C. (05)	Reception	-	-	-	-	Running with ball	-	0.3	0.3	00:00'7	1.5	76.7	27.2	-81	-	B 2	B 2
Zhu C. (05)	1 - 00:03'4	Zhu C. (05)	Running with ball	-	-	-	-	Pass	-	1	1	00:00'8	4.5	76.5	28.6	-81.45	-	B 2	B 2
Zhu C. (05)	1 - 00:04'2	Karanga (37)	Pass	Gaining(37.Kar)	-	-	-	Neutral contact	Indiv. loss of poss.	35.5	2.2	00:00'1	-	75.5	29.2	-81.73	-	B 2	B 2
Karanga (37)	1 - 00:04'3	Zhong (30)	Neutral contact	-	-	-	-	Pass	Gaining neutral touch	33.3	33.3	00:02'7	44.4	32.1	27.3	82.83	-	B 2	D 2
Zhong (30)	1 - 00:07'0	Bassogog C. (10)	Pass	-	-	Header	-	Pass	Coll. gain of poss.	11.5	11.5	00:01'7	24.4	65	10.7	69.82	-	D 2	D 2
Bassogog C. (10)	1 - 00:08'7	Zhu C. (05)	Pass	-	-	Header	-	Pass	Indiv. loss of poss.	16.8	16.8	00:02'9	20.8	53.7	10.8	78.46	-	D 2	C 2
Zhu C. (05)	1 - 00:11'6	Shuai (27)	Pass	-	-	-	-	Pass	Indiv. gain of poss.	28.7	28.7	00:03'3	31.3	69.3	21.5	-78.11	-	C 2	A 2
Shuai (27)	1 - 00:14'9	Han Xuan (04)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	49.1	49.1	00:03'7	47.8	97.4	45.4	-65.56	-	A 2	D 3
Han Xuan (04)	1 - 00:18'6	Jinhao (03)	Pass	Gaining(03.Jin)	-	Header	-	Neutral contact	Indiv. gain of poss.	37.4	20.9	00:01'5	50.1	56.4	11	-84.96	-	D 3	C 3
Jinhao (03)	1 - 00:20'1	Zhong (30)	Neutral contact	-	Air duel	Header	-	Pass	-	16.5	16.5	00:02'1	28.3	69.6	16.9	85.8	-	C 3	C 2
Zhong (30)	1 - 00:22'2	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	10.4	10.4	00:00'8	46.9	44.9	9	74.63	-	C 2	B 2
Bassogog C. (10)	1 - 00:23'0	Bassogog C. (10)	Reception	-	-	Chest	-	Running with ball	-	15	15	00:02'3	23.5	35.2	16.2	69.35	-	B 2	B 1
Bassogog C. (10)	1 - 00:25'3	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	3.3	3.3	00:00'8	14.9	33	22.2	44.14	-	B 1	B 1
Bassogog C. (10)	1 - 00:26'1	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	4.7	4.7	00:00'9	19	30.7	21.2	39.85	-	B 1	A 1
Bassogog C. (10)	1 - 00:27'0	Bassogog C. (10)	Running with ball	-	-	-	-	Cross	-	1.2	1.2	00:00'3	14.6	26.4	18.9	35.92	-	A 1	A 1
Bassogog C. (10)	1 - 00:27'3	Jiajun (23)	Cross	Gaining(23.Jia)	-	Left foot	-	Neutral contact	Indiv. loss of poss.	21.6	2.5	00:00'1	-	25.3	18.2	35.01	-	A 1	A 2
Jiajun (23)	1 - 00:27'4	Jinhao (03)	Neutral contact	-	-	-	-	Pass	Gaining neutral touch	19.1	19.1	00:02'1	32.7	93	17.1	-37.02	-	A 2	A 3
Jinhao (03)	1 - 00:29'5	Moreno (10)	Pass	-	-	-	-	Reception	Coll. gain of poss.	32	32	00:02'1	54.8	89.7	15	87.38	-	A 3	C 2
Moreno (10)	1 - 00:31'6	Moreno (10)	Reception	-	-	-	-	Pass	-	9.1	9.1	00:01'6	20.4	62.7	14.8	-72.51	-	C 2	C 2
Moreno (10)	1 - 00:33'2	Yunding C. (28)	Pass	-	-	-	-	Reception	-	9.8	9.8	00:01'3	27.1	71.1	10.3	-62.25	-	C 2	C 1
Yunding C. (28)	1 - 00:34'5	Yunding C. (28)	Reception	-	-	-	-	Pass	-	0.9	0.9	00:00'8	4.1	74.6	19.9	-51.38	-	C 1	C 1
Yunding C. (28)	1 - 00:35'3	Qian J. (26)	Pass	-	-	-	-	Reception	-	17	17	00:01'0	61.2	74.4	19.4	-52.1	-	C 1	C 2
Qian J. (26)	1 - 00:36'3	Qian J. (26)	Reception	-	-	-	-	Running with ball	-	6.2	6.2	00:01'2	18.7	60.1	5.1	-72.34	-	C 2	D 2
Qian J. (26)	1 - 00:37'5	-	Running with ball	-	-	-	-	Foul - dir. free-kick	-	3.2	3.2	00:00'5	22.9	53.9	6.4	-76.14	-	D 2	D 2
Zhu C. (05)	1 - 00:53'6	Jiajun (23)	Pass	-	Direct free-kick	-	Straight	Reception	-	18.8	18.8	00:01'3	52.1	52.4	15.6	-79.78	-	D 2	D 1
Jiajun (23)	1 - 00:54'9	Jiajun (23)	Reception	-	-	-	-	Pass	-	0.5	0.5	00:00'7	2.6	55.2	23.4	-59.86	-	D 1	D 1
Jiajun (23)	1 - 00:55'6	Yunding C. (28)	Pass	-	-	-	-	Reception	-	9.9	9.9	00:00'7	50.9	55.1	23.2	-59.34	-	D 1	D 1
Yunding C. (28)	1 - 00:56'3	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	1.7	1.7	00:00'7	9	50.1	22.5	-50.02	-	D 1	D 1
Yunding C. (28)	1 - 00:57'0	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.1	2.1	00:00'7	11	50.9	20.9	-51.78	-	D 1	D 1
Yunding C. (28)	1 - 00:57'7	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	2.1	2.1	00:00'7	10.6	51.5	19.6	-54.09	-	D 1	D 1
Yunding C. (28)	1 - 00:58'4	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	1	1	00:00'6	6	52.1	19.1	-56.28	-	D 1	D 1
Yunding C. (28)	1 - 00:59'0	Jiajun (23)	Pass	-	-	-	-	Reception	-	8.1	8.1	00:00'9	32.2	52.9	19.9	-56.79	-	D 1	D 1
Jiajun (23)	1 - 00:59'9	Jiajun (23)	Reception	-	-	-	-	Pass	-	1.1	1.1	00:01'1	3.6	60.3	25.4	-60.16	-	D 1	D 1
